Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime,Map Winner,Score Difference,Total Rounds Played,Map Picker
259,Team Liquid,EDward Gaming,EDward Gaming,Team Liquid,Haven,13,9,7,6,0,6,3,0,1,Team Liquid,Defense,0,Team Liquid,4,22,EDward Gaming
259,Team Liquid,EDward Gaming,EDward Gaming,Team Liquid,Split,8,13,2,6,0,6,7,0,2,EDward Gaming,Attack,0,EDward Gaming,-5,21,Team Liquid
259,Team Liquid,EDward Gaming,EDward Gaming,Team Liquid,Lotus,13,11,8,5,0,7,4,0,3,EDward Gaming,Attack,0,Team Liquid,2,24,
260,FNATIC,NRG Esports,FNATIC,NRG Esports,Fracture,13,9,7,6,0,6,3,0,1,NRG Esports,Attack,0,FNATIC,4,22,FNATIC
260,FNATIC,NRG Esports,FNATIC,NRG Esports,Bind,13,4,10,3,0,2,2,0,2,FNATIC,Attack,0,FNATIC,9,17,NRG Esports
261,Paper Rex,DRX,DRX,Paper Rex,Split,13,10,9,4,0,7,3,0,1,Paper Rex,Attack,0,Paper Rex,3,23,DRX
261,Paper Rex,DRX,DRX,Paper Rex,Bind,13,10,5,8,0,4,6,0,2,DRX,Attack,0,Paper Rex,3,23,Paper Rex
262,EDward Gaming,LOUD,LOUD,EDward Gaming,Lotus,13,6,8,5,0,2,4,0,1,EDward Gaming,Attack,0,EDward Gaming,7,19,LOUD
262,EDward Gaming,LOUD,LOUD,EDward Gaming,Fracture,13,10,8,5,0,7,3,0,2,LOUD,Attack,0,EDward Gaming,3,23,EDward Gaming
263,DRX,NRG Esports,DRX,NRG Esports,Pearl,11,13,3,8,0,4,9,0,1,NRG Esports,Attack,0,NRG Esports,-2,24,DRX
263,DRX,NRG Esports,DRX,NRG Esports,Haven,5,13,4,1,0,5,8,0,2,DRX,Attack,0,NRG Esports,-8,18,NRG Esports
264,Team Liquid,Evil Geniuses,Evil Geniuses,Team Liquid,Fracture,2,13,1,1,0,11,2,0,1,Team Liquid,Defense,0,Evil Geniuses,-11,15,Evil Geniuses
264,Team Liquid,Evil Geniuses,Evil Geniuses,Team Liquid,Haven,9,13,5,4,0,6,7,0,2,Evil Geniuses,Defense,0,Evil Geniuses,-4,22,Team Liquid
265,Paper Rex,FNATIC,FNATIC,Paper Rex,Lotus,5,13,0,5,0,1,12,0,1,Paper Rex,Attack,0,FNATIC,-8,18,FNATIC
265,Paper Rex,FNATIC,FNATIC,Paper Rex,Bind,7,13,4,3,0,9,4,0,2,FNATIC,Attack,0,FNATIC,-6,20,Paper Rex
266,Team Liquid,NRG Esports,NRG Esports,Team Liquid,Haven,12,14,4,8,0,4,8,2,1,Team Liquid,Defense,1,NRG Esports,-2,26,NRG Esports
