Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
80,13,10,5,8,0,4,6,0,8,4,4,T1,Attack,Paper Rex,T1
81,13,8,7,6,0,6,2,0,6,6,0,Team Secret,Defense,Team Secret,Gen.G
81,8,13,6,2,0,10,3,0,2,10,-8,Gen.G,Attack,Team Secret,Gen.G
81,12,14,5,7,0,5,7,2,7,5,2,Gen.G,Attack,Team Secret,Gen.G
82,13,10,5,8,0,4,6,0,8,4,4,T1,Defense,T1,ZETA DIVISION
82,12,14,7,5,0,7,5,2,5,7,-2,ZETA DIVISION,Attack,T1,ZETA DIVISION
82,13,10,8,5,0,7,3,0,5,7,-2,ZETA DIVISION,Attack,T1,ZETA DIVISION
83,5,13,5,0,0,6,7,0,5,7,-2,DRX,Attack,DRX,Paper Rex
83,6,13,2,4,0,8,5,0,4,8,-4,Paper Rex,Attack,DRX,Paper Rex
84,13,10,8,5,0,7,3,0,5,7,-2,Gen.G,Attack,T1,Gen.G
84,13,10,6,7,0,5,5,0,7,5,2,T1,Defense,T1,Gen.G
85,11,13,9,2,0,10,3,0,9,3,6,T1,Defense,DRX,T1
85,13,11,4,9,0,3,8,0,4,8,-4,DRX,Attack,DRX,T1
85,13,11,9,4,0,8,3,0,9,3,6,T1,Defense,DRX,T1
85,6,13,4,2,0,5,8,0,4,8,-4,DRX,Attack,DRX,T1
85,13,9,8,5,0,5,4,0,8,4,4,T1,Defense,DRX,T1
86,6,13,3,3,0,9,4,0,3,9,-6,DRX,Attack,Paper Rex,DRX
86,14,16,6,6,2,6,6,4,6,6,0,Paper Rex,Attack,Paper Rex,DRX
86,13,3,4,9,0,3,0,0,9,3,6,DRX,Attack,Paper Rex,DRX
86,13,8,8,5,0,4,4,0,8,4,4,Paper Rex,Attack,Paper Rex,DRX
86,13,6,4,9,0,3,3,0,9,3,6,DRX,Attack,Paper Rex,DRX
87,13,7,5,8,0,4,3,0,8,4,4,KOI,Defense,KOI,Natus Vincere
