Match ID,Date,Team 1_0,Team 1_1,Team 1_2,Team 1_3,Team 1_4,Team 1_5,Team 2_0,Team 2_1,Team 2_2,Team 2_3,Team 2_4,Team 2_5,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference,Map_Abyss,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset
65,2024-02-25 02:00:00,0,1,1,1,1,0,1,0,0,1,0,0,5,5,7,6,0,-3,False,False,False,False,False,False,True,False,False
66,2024-02-25 05:30:00,1,0,0,1,0,0,1,0,0,1,0,1,1,10,2,11,0,-2,False,False,False,False,False,True,False,False,False
66,2024-02-25 05:30:00,1,0,0,1,0,0,1,0,0,1,0,1,7,6,6,2,0,5,False,False,False,False,False,False,False,True,False
66,2024-02-25 05:30:00,1,0,0,1,0,0,1,0,0,1,0,1,4,6,6,7,0,-3,False,False,True,False,False,False,False,False,False
67,2024-02-25 09:00:00,1,0,0,1,0,1,1,0,0,1,1,0,5,5,6,7,0,-3,False,False,True,False,False,False,False,False,False
67,2024-02-25 09:00:00,1,0,0,1,0,1,1,0,0,1,1,0,6,7,4,6,0,3,False,True,False,False,False,False,False,False,False
67,2024-02-25 09:00:00,1,0,0,1,0,1,1,0,0,1,1,0,4,7,5,8,0,-2,False,False,False,True,False,False,False,False,False
68,2024-02-26 02:00:00,0,1,1,1,1,0,1,0,0,0,0,0,6,7,5,0,0,8,False,False,False,False,False,False,False,True,False
68,2024-02-26 02:00:00,0,1,1,1,1,0,1,0,0,0,0,0,5,8,4,0,0,9,False,False,False,False,False,False,True,False,False
69,2024-02-26 04:05:00,1,0,0,1,0,0,1,0,0,1,1,1,1,4,8,5,0,-8,False,False,True,False,False,False,False,False,False
69,2024-02-26 04:05:00,1,0,0,1,0,0,1,0,0,1,1,1,7,5,7,5,1,2,False,False,False,False,False,True,False,False,False
69,2024-02-26 04:05:00,1,0,0,1,0,0,1,0,0,1,1,1,7,6,6,4,0,3,False,False,False,False,False,False,True,False,False
70,2024-02-26 07:40:00,1,0,0,1,0,1,1,0,1,0,0,0,2,7,5,8,0,-4,False,False,False,False,False,False,False,False,True
70,2024-02-26 07:40:00,1,0,0,1,0,1,1,0,1,0,0,0,3,7,4,9,0,-3,False,False,False,False,False,True,False,False,False
71,2024-02-27 02:00:00,0,1,1,1,1,0,1,0,0,0,0,1,7,5,7,5,1,-2,False,False,False,True,False,False,False,False,False
71,2024-02-27 02:00:00,0,1,1,1,1,0,1,0,0,0,0,1,10,3,4,2,0,7,False,False,False,False,False,False,True,False,False
71,2024-02-27 02:00:00,0,1,1,1,1,0,1,0,0,0,0,1,9,4,5,3,0,5,False,False,False,False,False,False,False,True,False
72,2024-02-27 05:35:00,1,0,0,0,1,0,1,0,0,0,0,1,4,9,3,0,0,10,False,False,False,False,False,False,True,False,False
72,2024-02-27 05:35:00,1,0,0,0,1,0,1,0,0,0,0,1,7,6,3,5,0,5,False,True,False,False,False,False,False,False,False
73,2024-02-27 07:35:00,1,0,0,0,1,0,1,0,1,0,0,1,4,9,3,8,0,2,False,False,False,False,False,False,True,False,False
73,2024-02-27 07:35:00,1,0,0,0,1,0,1,0,1,0,0,1,6,6,6,6,1,-2,False,False,False,False,False,False,False,False,True
73,2024-02-27 07:35:00,1,0,0,0,1,0,1,0,1,0,0,1,4,8,4,8,1,-2,False,False,True,False,False,False,False,False,False
74,2024-03-01 04:00:00,0,1,1,1,1,1,1,0,0,1,0,1,5,8,4,6,0,3,False,True,False,False,False,False,False,False,False
74,2024-03-01 04:00:00,0,1,1,1,1,1,1,0,0,1,0,1,4,9,3,3,0,7,False,False,False,True,False,False,False,False,False
75,2024-03-01 06:15:00,1,0,0,1,1,0,1,0,1,0,0,1,7,5,7,5,1,2,False,False,False,False,False,False,False,False,True
75,2024-03-01 06:15:00,1,0,0,1,1,0,1,0,1,0,0,1,8,5,2,4,0,7,False,False,True,False,False,False,False,False,False
