Match ID,Date,Team 1,Team 2,Map Name,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Overtime,Score Difference
184,2024-04-16 06:00:00,BLEED,ZETA DIVISION,Sunset,3,6,6,7,False,-4
184,2024-04-16 06:00:00,BLEED,ZETA DIVISION,Ascent,6,7,5,4,False,4
184,2024-04-16 06:00:00,BLEED,ZETA DIVISION,Lotus,3,5,4,9,False,-5
185,2024-04-20 04:00:00,Gen.G,DRX,Bind,6,4,8,5,False,-3
185,2024-04-20 04:00:00,Gen.G,DRX,Ascent,8,5,7,2,False,4
185,2024-04-20 04:00:00,Gen.G,DRX,Split,6,1,7,6,False,-6
186,2024-04-20 07:15:00,BLEED,DetonatioN FocusMe,Lotus,2,7,5,8,False,-4
186,2024-04-20 07:15:00,BLEED,DetonatioN FocusMe,Split,10,3,5,2,False,6
186,2024-04-20 07:15:00,BLEED,DetonatioN FocusMe,Ascent,3,10,2,2,False,9
187,2024-04-21 04:00:00,Global Esports,Rex Regum Qeon,Lotus,7,6,5,5,False,3
187,2024-04-21 04:00:00,Global Esports,Rex Regum Qeon,Icebox,8,5,0,4,False,9
188,2024-04-21 07:00:00,Team Secret,Paper Rex,Icebox,5,8,4,5,False,4
188,2024-04-21 07:00:00,Team Secret,Paper Rex,Sunset,7,6,3,5,False,5
189,2024-04-22 04:00:00,T1,Talon Esports,Lotus,6,5,7,6,False,-2
189,2024-04-22 04:00:00,T1,Talon Esports,Bind,5,5,6,7,False,-3
190,2024-04-22 06:15:00,Gen.G,ZETA DIVISION,Split,6,7,5,3,False,5
190,2024-04-22 06:15:00,Gen.G,ZETA DIVISION,Ascent,7,5,7,5,True,2
191,2024-04-23 04:00:00,Team Secret,DetonatioN FocusMe,Lotus,10,3,2,2,False,9
191,2024-04-23 04:00:00,Team Secret,DetonatioN FocusMe,Breeze,1,8,4,9,False,-4
191,2024-04-23 04:00:00,Team Secret,DetonatioN FocusMe,Sunset,1,12,0,2,False,11
192,2024-04-23 06:50:00,Global Esports,Paper Rex,Sunset,2,2,10,3,False,-9
192,2024-04-23 06:50:00,Global Esports,Paper Rex,Icebox,2,5,7,6,False,-6
193,2024-04-27 04:00:00,BLEED,Paper Rex,Ascent,3,2,4,9,False,-8
193,2024-04-27 04:00:00,BLEED,Paper Rex,Bind,5,1,6,7,False,-7
194,2024-04-27 06:00:00,Global Esports,DetonatioN FocusMe,Split,6,4,7,6,False,-3
194,2024-04-27 06:00:00,Global Esports,DetonatioN FocusMe,Lotus,11,2,4,1,False,8
194,2024-04-27 06:00:00,Global Esports,DetonatioN FocusMe,Ascent,7,6,6,5,False,2
195,2024-04-28 04:00:00,T1,ZETA DIVISION,Bind,6,5,7,6,False,-2
195,2024-04-28 04:00:00,T1,ZETA DIVISION,Lotus,8,5,5,4,False,4
195,2024-04-28 04:00:00,T1,ZETA DIVISION,Sunset,6,7,4,6,False,3
196,2024-04-28 07:10:00,Team Secret,Talon Esports,Sunset,3,10,2,9,False,2
196,2024-04-28 07:10:00,Team Secret,Talon Esports,Lotus,5,6,6,7,False,-2
196,2024-04-28 07:10:00,Team Secret,Talon Esports,Breeze,7,3,8,5,False,-3
197,2024-04-29 04:00:00,BLEED,DRX,Bind,5,4,6,7,False,-4
197,2024-04-29 04:00:00,BLEED,DRX,Breeze,2,2,10,3,False,-9
198,2024-04-29 06:05:00,Gen.G,Rex Regum Qeon,Breeze,2,11,1,2,False,10
198,2024-04-29 06:05:00,Gen.G,Rex Regum Qeon,Ascent,5,6,6,7,False,-2
198,2024-04-29 06:05:00,Gen.G,Rex Regum Qeon,Split,5,5,6,7,False,-3
199,2024-05-03 04:00:00,Team Secret,T1,Lotus,5,2,6,7,False,-6
199,2024-05-03 04:00:00,Team Secret,T1,Sunset,2,9,3,10,False,-2
200,2024-05-03 06:10:00,Paper Rex,Talon Esports,Lotus,12,1,0,0,False,13
200,2024-05-03 06:10:00,Paper Rex,Talon Esports,Sunset,3,10,2,7,False,4
200,2024-05-03 06:10:00,Paper Rex,Talon Esports,Bind,4,3,9,4,False,-6
201,2024-05-04 04:00:00,Gen.G,T1,Ascent,3,6,4,9,False,-4
201,2024-05-04 04:00:00,Gen.G,T1,Sunset,7,6,6,2,False,5
201,2024-05-04 04:00:00,Gen.G,T1,Breeze,3,4,8,5,False,-6
202,2024-05-04 07:10:00,DRX,Paper Rex,Lotus,4,2,5,8,False,-7
202,2024-05-04 07:10:00,DRX,Paper Rex,Ascent,5,8,3,7,False,3
202,2024-05-04 07:10:00,DRX,Paper Rex,Bind,2,4,8,5,False,-7
203,2024-05-05 04:00:00,T1,Paper Rex,Lotus,2,1,11,2,False,-10
203,2024-05-05 04:00:00,T1,Paper Rex,Sunset,2,3,3,10,False,-8
204,2024-05-05 06:00:00,Gen.G,DRX,Bind,2,6,6,7,False,-5
204,2024-05-05 06:00:00,Gen.G,DRX,Sunset,9,4,8,3,False,2
204,2024-05-05 06:00:00,Gen.G,DRX,Ascent,8,5,4,4,False,5
205,2024-05-11 04:00:00,T1,Gen.G,Lotus,2,0,3,10,False,-11
205,2024-05-11 04:00:00,T1,Gen.G,Icebox,4,7,5,8,False,-2
205,2024-05-11 04:00:00,T1,Gen.G,Bind,5,4,6,7,False,-4
206,2024-05-12 04:00:00,Paper Rex,Gen.G,Lotus,6,3,7,6,False,-4
206,2024-05-12 04:00:00,Paper Rex,Gen.G,Sunset,6,7,5,4,False,4
