Match ID,Date,Team 1,Team 2,Map Name,Map Duration,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds
78,2024-03-14 13:25:00,Gen.G,LOUD,Icebox,3764.0,13,11,6,7,5,6
78,2024-03-14 13:25:00,Gen.G,LOUD,Breeze,3386.0,8,13,5,3,9,4
78,2024-03-14 13:25:00,Gen.G,LOUD,Ascent,2296.0,13,5,9,4,2,3
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Sunset,3656.0,8,13,5,3,9,4
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Bind,2951.0,13,9,5,8,4,5
79,2024-03-15 11:00:00,EDward Gaming,Paper Rex,Split,2629.0,13,9,5,8,4,5
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Lotus,3637.0,13,9,9,4,8,1
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Sunset,2683.0,5,13,4,1,5,8
80,2024-03-15 14:15:00,Sentinels,Team Heretics,Bind,3314.0,13,11,6,7,5,6
81,2024-03-16 11:00:00,Sentinels,Karmine Corp,Split,3424.0,13,8,6,7,2,6
81,2024-03-16 11:00:00,Sentinels,Karmine Corp,Lotus,3409.0,13,11,7,6,6,5
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Icebox,3341.0,13,8,8,5,4,4
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Split,2390.0,5,13,0,5,7,6
82,2024-03-16 13:25:00,EDward Gaming,Gen.G,Breeze,2716.0,6,13,5,1,11,2
83,2024-03-17 11:00:00,FunPlus Phoenix,LOUD,Sunset,2552.0,5,13,4,1,5,8
83,2024-03-17 11:00:00,FunPlus Phoenix,LOUD,Breeze,3185.0,11,13,4,7,5,8
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Sunset,3571.0,10,13,4,6,6,7
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Lotus,2816.0,13,10,6,7,5,5
84,2024-03-17 13:20:00,Team Heretics,Paper Rex,Split,2377.0,7,13,1,6,6,7
85,2024-03-18 11:00:00,LOUD,EDward Gaming,Icebox,2622.0,13,2,11,2,1,1
85,2024-03-18 11:00:00,LOUD,EDward Gaming,Sunset,2121.0,13,3,4,9,3,0
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Bind,3589.0,10,13,6,4,8,5
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Lotus,2576.0,13,6,5,8,4,2
86,2024-03-18 12:55:00,Karmine Corp,Paper Rex,Ascent,3221.0,12,14,5,7,5,7
87,2024-03-21 11:00:00,Gen.G,Paper Rex,Split,3337.0,13,8,8,5,4,4
87,2024-03-21 11:00:00,Gen.G,Paper Rex,Lotus,2562.0,13,9,5,8,4,5
88,2024-03-21 13:10:00,Sentinels,LOUD,Split,2914.0,13,4,9,4,1,3
88,2024-03-21 13:10:00,Sentinels,LOUD,Icebox,3575.0,12,14,5,7,5,7
88,2024-03-21 13:10:00,Sentinels,LOUD,Sunset,3755.0,14,12,7,5,7,5
89,2024-03-22 11:00:00,Gen.G,Sentinels,Split,3219.0,13,5,8,5,1,4
89,2024-03-22 11:00:00,Gen.G,Sentinels,Lotus,2929.0,7,13,2,5,7,6
89,2024-03-22 11:00:00,Gen.G,Sentinels,Breeze,2044.0,13,3,4,9,3,0
90,2024-03-22 13:55:00,Paper Rex,LOUD,Ascent,3658.0,13,11,6,7,5,6
90,2024-03-22 13:55:00,Paper Rex,LOUD,Sunset,2769.0,13,8,6,7,5,3
91,2024-03-23 11:00:00,Sentinels,Paper Rex,Lotus,4347.0,14,12,6,6,6,6
91,2024-03-23 11:00:00,Sentinels,Paper Rex,Ascent,2471.0,13,6,7,6,6,0
91,2024-03-23 11:00:00,Sentinels,Paper Rex,Split,2293.0,5,13,4,1,5,8
91,2024-03-23 11:00:00,Sentinels,Paper Rex,Sunset,2036.0,13,3,4,9,3,0
92,2024-03-24 12:15:00,Gen.G,Sentinels,Breeze,3792.0,13,8,7,6,3,5
92,2024-03-24 12:15:00,Gen.G,Sentinels,Bind,3856.0,12,14,6,6,6,6
92,2024-03-24 12:15:00,Gen.G,Sentinels,Ascent,2785.0,13,8,6,7,2,6
92,2024-03-24 12:15:00,Gen.G,Sentinels,Split,2991.0,10,13,4,6,5,8
92,2024-03-24 12:15:00,Gen.G,Sentinels,Icebox,2525.0,6,13,5,1,6,7
93,2024-04-03 11:00:00,Karmine Corp,GIANTX,Breeze,3234.0,13,4,4,9,3,1
93,2024-04-03 11:00:00,Karmine Corp,GIANTX,Sunset,2894.0,13,9,6,7,3,6
94,2024-04-03 13:05:00,KOI,Team Liquid,Split,3963.0,9,13,8,1,9,4
94,2024-04-03 13:05:00,KOI,Team Liquid,Ascent,2677.0,7,13,3,4,8,5
95,2024-04-04 11:00:00,Team Vitality,Natus Vincere,Bind,4187.0,9,13,4,5,7,6
95,2024-04-04 11:00:00,Team Vitality,Natus Vincere,Lotus,2385.0,4,13,1,3,9,4
96,2024-04-04 13:10:00,FNATIC,Team Heretics,Icebox,2811.0,4,13,1,3,9,4
96,2024-04-04 13:10:00,FNATIC,Team Heretics,Lotus,4637.0,15,17,7,5,7,5
97,2024-04-05 11:00:00,Team Liquid,FUT Esports,Split,3373.0,5,13,3,2,10,3
97,2024-04-05 11:00:00,Team Liquid,FUT Esports,Icebox,2642.0,8,13,4,4,5,8
98,2024-04-05 13:00:00,BBL Esports,Gentle Mates,Ascent,3302.0,7,13,3,4,8,5
98,2024-04-05 13:00:00,BBL Esports,Gentle Mates,Sunset,3180.0,11,13,5,6,6,7
99,2024-04-10 11:00:00,Karmine Corp,FUT Esports,Bind,4358.0,13,11,7,6,6,5
99,2024-04-10 11:00:00,Karmine Corp,FUT Esports,Lotus,2767.0,8,13,5,3,9,4
99,2024-04-10 11:00:00,Karmine Corp,FUT Esports,Breeze,2435.0,7,13,1,6,6,7
100,2024-04-10 14:10:00,Team Vitality,Team Heretics,Breeze,3495.0,13,9,7,6,6,3
100,2024-04-10 14:10:00,Team Vitality,Team Heretics,Sunset,3312.0,11,13,5,6,6,7
100,2024-04-10 14:10:00,Team Vitality,Team Heretics,Icebox,3150.0,13,9,8,5,5,4
101,2024-04-11 11:00:00,Team Liquid,Natus Vincere,Lotus,4184.0,13,10,5,8,4,6
101,2024-04-11 11:00:00,Team Liquid,Natus Vincere,Split,3450.0,11,13,10,1,11,2
101,2024-04-11 11:00:00,Team Liquid,Natus Vincere,Ascent,2455.0,5,13,2,3,9,4
102,2024-04-11 14:20:00,BBL Esports,KOI,Breeze,2677.0,13,4,4,9,3,1
102,2024-04-11 14:20:00,BBL Esports,KOI,Icebox,2315.0,13,3,4,9,3,0
103,2024-04-12 11:00:00,FNATIC,GIANTX,Bind,3419.0,13,5,7,6,0,5
103,2024-04-12 11:00:00,FNATIC,GIANTX,Breeze,2266.0,5,13,4,1,5,8
103,2024-04-12 11:00:00,FNATIC,GIANTX,Split,2701.0,13,7,9,4,4,3
104,2024-04-12 13:45:00,Karmine Corp,Gentle Mates,Split,3425.0,13,6,4,9,3,3
104,2024-04-12 13:45:00,Karmine Corp,Gentle Mates,Icebox,2716.0,13,6,3,10,2,4
105,2024-04-17 11:00:00,Gentle Mates,FNATIC,Breeze,3637.0,6,13,3,3,4,9
105,2024-04-17 11:00:00,Gentle Mates,FNATIC,Lotus,2293.0,4,13,4,0,5,8
106,2024-04-17 13:00:00,Karmine Corp,Natus Vincere,Bind,3043.0,13,7,8,5,3,4
106,2024-04-17 13:00:00,Karmine Corp,Natus Vincere,Sunset,2546.0,7,13,2,5,7,6
106,2024-04-17 13:00:00,Karmine Corp,Natus Vincere,Split,2545.0,6,13,3,3,4,9
107,2024-04-18 11:00:00,BBL Esports,Team Heretics,Split,3703.0,13,7,7,6,2,5
107,2024-04-18 11:00:00,BBL Esports,Team Heretics,Sunset,2837.0,13,10,7,6,6,4
108,2024-04-18 13:15:00,Team Vitality,FUT Esports,Ascent,3142.0,7,13,3,4,8,5
